,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews
22,Nokia,C1 2nd Edition ,5.45,1.0,16.0,5MP + 5MP,Dual,0.0,34%,4.1,Kattason enterprise,94%,291,No reviews
23,XIAOMI,Redmi Note 12 ,6.67,6.0,128.0,50MP + 8MP + 2MP,Dual,0.0,22%,4.6,XIAOMI KE,100%,9268,"[ (5 out of 5) like it ], [ (5 out of 5) Excellent phone ], [ (5 out of 5) best phone best price ], [ (5 out of 5) Features ], [ (5 out of 5) Its perfect ], [ (5 out of 5) I love it! ]"
24,XIAOMI,Redmi 12 ,6.79,8.0,256.0,50MP + 8MP + 2MP + 8MP,Dual,5000.0,16%,0.0,XIAOMI KE,100%,9268,No reviews
25,Infinix,Smart 7 Plus ,6.6,3.0,64.0,13MP + 5MP,Dual,6000.0,17%,4.2,Tech Traders,86%,722,"[ (5 out of 5) its perfect for its secs ], [ (5 out of 5) infinix smart 7 ], [ (5 out of 5) working perfectly ], [ (5 out of 5) Superb ], [ (4 out of 5) nice one ], [ (1 out of 5) OVERHEATING  ], [ (5 out of 5) I like it ], [ (4 out of 5) perfect  ], [ (5 out of 5) amazing ], [ (4 out of 5) Review ]"
26,Samsung,Galaxy A04 ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,Dual,5000.0,16%,4.4,Samsung Ecco World -,100%,177,"[ (5 out of 5) I like it ], [ (5 out of 5) Love it ], [ (5 out of 5) Delivery & packaging ], [ (5 out of 5) I just love this phone ], [ (5 out of 5) lovely battery life ], [ (5 out of 5) I like it ], [ (5 out of 5) I love it ], [ (5 out of 5) Best smartphone ], [ (5 out of 5) samsung Ao4 ], [ (5 out of 5) Samsung A04 ]"
27,Samsung,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,Dual,5000.0,45%,2.8,Minestar,86%,1002,[ (3 out of 5) I liked the phone ]
28,Samsung,Galaxy A14 4G ,6.6,4.0,64.0,50MP + 2MP + 2MP + 13MP,Dual,5000.0,33%,4.7,Samsung Ecco World -,100%,177,"[ (5 out of 5) Galaxy A14 ], [ (4 out of 5) I like it ], [ (5 out of 5) Device performance ], [ (4 out of 5) i like it ], [ (5 out of 5) Good camera ], [ (5 out of 5) i like it ], [ (5 out of 5) I love it ]"
29,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,22%,4.4,Tech Traders,86%,722,"[ (5 out of 5) meets my expectations ], [ (5 out of 5) I like it ], [ (5 out of 5) I LIKE IT ], [ (3 out of 5) I like it ], [ (5 out of 5) i like it ], [ (5 out of 5) Fabulous???????? ], [ (5 out of 5) I LIKE IT ], [ (5 out of 5) great ], [ (3 out of 5) I have mixed feelings. ], [ (5 out of 5) I love it ]"
30,XIAOMI,Redmi Note 12S ,6.67,8.0,256.0,108MP + 8MP + 2MP + 16MP,Dual,0.0,18%,5.0,XIAOMI KE,100%,9268,[ (5 out of 5) I like it ]
31,XIAOMI,Redmi 12c ,6.71,6.0,128.0,50MP + 0.08MP + 5MP,Dual,5000.0,22%,5.0,Xiaomi Ecco World - AC,80%,36,[ (5 out of 5) LOVE IT ]
32,Tecno,Spark 10 ,6.6,8.0,128.0,50MP + 8MP + 50MP,Dual,5000.0,23%,4.5,Minestar,86%,1002,"[ (5 out of 5) nice ], [ (5 out of 5) I like it. Thank you!! ], [ (5 out of 5) wonderful  ]"
33,Nokia,C12 ,6.3,2.0,64.0,8MP + 5MP,Dual,3000.0,28%,4.4,Samsung Ecco World -,100%,177,"[ (4 out of 5) Good value ], [ (5 out of 5) It's modest phone ], [ (5 out of 5) Specs ]"
34,Infinix,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,Dual,5000.0,27%,5.0,Tech Traders,86%,722,[ (5 out of 5) I like it ]
35,Tecno,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,Dual,5000.0,19%,4.2,Premium Phones-,100%,407,"[ (5 out of 5) I like it ], [ (5 out of 5) Great  ], [ (5 out of 5) I like it ], [ (5 out of 5) camera and space  ], [ (3 out of 5) Somewhat what I expected ], [ (5 out of 5) speed ], [ (5 out of 5) excellent ], [ (2 out of 5) exactly ], [ (5 out of 5) I love it ]"
36,Samsung,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,Dual,5000.0,41%,4.8,Minestar,86%,1002,"[ (5 out of 5) I like the phone ], [ (5 out of 5) great phone so far ], [ (5 out of 5) I love it ]"
37,Infinix,SMART 7 PLUS Type C ,6.6,9.0,64.0,13MP,Dual,6000.0,1%,4.0,Tycoon enterprises,94%,305,No reviews
38,Tecno,Spark 10C ,6.6,8.0,128.0,16MP + 8MP,Dual,5000.0,43%,5.0,Minestar,86%,1002,No reviews
39,Samsung,Galaxy A04 ,6.5,4.0,64.0,50MP + 2MP + 2MP + 5MP,Dual,5000.0,36%,4.2,CELLINY COLLECTIONS,74%,967,No reviews
40,Oppo,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,Dual,5000.0,35%,4.5,Minestar,86%,1002,No reviews
41,Samsung,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,Dual,5000.0,46%,4.7,Minestar,86%,1002,No reviews
42,XIAOMI,Redmi 12 ,6.79,8.0,256.0,50MP + 8MP + 2MP + 8MP,Dual,5000.0,16%,0.0,XIAOMI KE,100%,9268,No reviews
43,Samsung,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,Dual,5000.0,4%,4.4,Minestar,86%,1002,"[ (5 out of 5) Great Products ], [ (5 out of 5) I like it ], [ (5 out of 5) LOVE IT ], [ (5 out of 5) Nice phone ]"
44,Oppo,A78 ,6.43,8.0,256.0,50MP,Dual,0.0,3%,4.5,Gaff Electronics Kenya,94%,165,"[ (5 out of 5) Excellent phone. ], [ (5 out of 5) Nice phone. ], [ (3 out of 5) I like it ]"
45,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,22%,4.4,Tech Traders,86%,722,"[ (5 out of 5) meets my expectations ], [ (5 out of 5) I like it ], [ (5 out of 5) I LIKE IT ], [ (3 out of 5) I like it ], [ (5 out of 5) i like it ], [ (5 out of 5) Fabulous???????? ], [ (5 out of 5) I LIKE IT ], [ (5 out of 5) great ], [ (3 out of 5) I have mixed feelings. ], [ (5 out of 5) I love it ]"
46,Tecno,Spark 10C ,6.6,12.0,128.0,16MP + 2MP,Dual,5000.0,1%,4.3,BIG VIEW,100%,68,[ (4 out of 5) I like it ]
47,Tecno,Spark 10 ,6.6,8.0,128.0,50MP + 8MP + 50MP,Dual,5000.0,23%,4.5,Minestar,86%,1002,"[ (5 out of 5) nice ], [ (5 out of 5) I like it. Thank you!! ], [ (5 out of 5) wonderful  ]"
48,Tecno,Spark 10 Pro ,6.8,16.0,256.0,50MP + 2MP + 32MP,Dual,5000.0,34%,0.0,Minestar,86%,1002,No reviews
49,Samsung,Galaxy A04s ,6.5,4.0,128.0,50MP + 2MP + 2MP + 5MP,Dual,5000.0,31%,4.1,Samsung Ecco World -,100%,177,"[ (5 out of 5) Good ], [ (4 out of 5) I like it ], [ (4 out of 5) display light ], [ (2 out of 5) charging system ], [ (5 out of 5) it's features ], [ (5 out of 5) perfect ], [ (3 out of 5) samsung A04s ], [ (5 out of 5) I like it ], [ (4 out of 5) I love it ]"
50,Infinix,Note 12i ,6.82,4.0,128.0,50MP + 2MP + 2MP + 8MP,Dual,5000.0,23%,4.7,SmartNets Enterprises,74%,249,"[ (4 out of 5) It's alright ], [ (5 out of 5) Enjoying every bit of my Note 12i ]"
51,Tecno,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,Dual,5000.0,30%,0.0,SmartNets Enterprises,74%,249,No reviews
52,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews
53,Samsung,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,Dual,5000.0,44%,5.0,Minestar,86%,1002,[ (5 out of 5) samsung a14 ]
54,Samsung,Galaxy S8 ,5.8,4.0,64.0,12MP + 8MP,Single,0.0,38%,3.7,mzazi tech hub,54%,97,"[ (4 out of 5) perfect ], [ (5 out of 5) Samsung Galaxy s8 ], [ (4 out of 5) S8 plain ], [ (4 out of 5) I like it. ]"
55,XIAOMI,Redmi Note 12s ,6.43,8.0,256.0,108MP + 8MP + 2MP + 12MP,Dual,5000.0,1%,4.6,KM KENYA ELECTRONICS,80%,1467,No reviews
56,XIAOMI,Redmi Note 12 ,6.67,4.0,128.0,50MP + 8MP + 2MP,Dual,0.0,25%,4.5,Minestar,86%,1002,No reviews
57,Tecno,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,Dual,5000.0,30%,0.0,Minestar,86%,1002,No reviews
58,Infinix,Smart 7 HD ,6.6,2.0,64.0,8MP + 5MP,Dual,5000.0,24%,0.0,MNI NabŘi Dealers,60%,17,No reviews
59,Oppo,A78 4G ,6.43,8.0,256.0,50MP + 8MP,Dual,5000.0,13%,0.0,SmartNets Enterprises,74%,249,No reviews
60,Tecno,Spark 10C ,6.6,4.0,128.0,16MP + 8MP,Dual,5000.0,33%,5.0,Minestar,86%,1002,[ (5 out of 5) i love it ]
61,Oppo,A78 4G ,6.43,16.0,256.0,50MP + 8MP,Dual,5000.0,32%,4.5,Minestar,86%,1002,No reviews
62,Oppo,A78 ,6.43,8.0,256.0,50MP,Dual,0.0,3%,0.0,Gaff Electronics Kenya,94%,165,No reviews
63,Samsung,Galaxy A54 5G ,6.4,8.0,256.0,50MP + 12MP + 5MP + 32MP,Dual,5000.0,21%,4.0,Samsung Ecco World -,100%,177,No reviews
64,Sowhat,Find 30 ,6.6,2.0,32.0,5MP + 13MP,Dual,4000.0,15%,2.0,Sowhat Mobiles,80%,4,[ (2 out of 5) I don't like it at all ]
65,Samsung,Galaxy A24 4G ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,Dual,5000.0,15%,4.5,t markets,98%,3,"[ (4 out of 5) I love it ], [ (4 out of 5) Quality ]"
66,Oppo,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,Dual,5000.0,29%,5.0,Minestar,86%,1002,[ (5 out of 5) I adore it ]
67,Samsung,Galaxy M14 5G ,6.6,6.0,128.0,50MP + 2MP + 2MP + 13MP,Dual,6000.0,25%,3.0,KM KENYA ELECTRONICS,80%,1467,No reviews
68,Tecno,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,Dual,5000.0,28%,5.0,SmartNets Enterprises,74%,249,[ (5 out of 5) Good ]
69,Infinix,Note 30 4G ,6.66,8.0,256.0,64MP + 16MP,Dual,5000.0,28%,4.5,Tech Traders,86%,722,[ (4 out of 5) I live it ]
70,Tecno,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,Dual,5000.0,29%,4.5,Minestar,86%,1002,No reviews
71,Samsung,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,Dual,5000.0,5%,4.1,Minestar,86%,1002,No reviews
72,Oppo,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,Dual,0.0,17%,5.0,Amira Store,100%,219,No reviews
73,Tecno,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,Dual,5000.0,29%,5.0,SmartNets Enterprises,74%,249,No reviews
74,Samsung,Galaxy A14 4G ,6.6,4.0,64.0,50MP + 2MP + 2MP + 13MP,Dual,5000.0,28%,0.0,Samsung Ecco World -,100%,177,No reviews
75,Samsung,Galaxy A04 ,6.5,4.0,64.0,5MP,Dual,5000.0,20%,0.0,Samsung Ecco World -,100%,177,No reviews
76,Tecno,Spark 10C ,6.6,8.0,128.0,16MP + 2MP,Dual,5000.0,33%,4.0,Minestar,86%,1002,No reviews
77,Samsung,Galaxy A14 ,6.6,4.0,128.0,50MP + 2MP + 2MP + 13MP,Dual,5000.0,43%,0.0,Sysnex,86%,27,No reviews
78,Infinix,Smart 7 HD ,6.6,6.0,64.0,8MP + 5MP,Dual,5000.0,17%,3.9,BIG VIEW,100%,68,No reviews
79,Tecno,CAMON 20 Pro ,6.67,8.0,256.0,32MP + 64MP,Dual,5000.0,10%,0.0,CELLINY COLLECTIONS,74%,967,No reviews
80,Realme,C55 ,6.72,8.0,256.0,64MP,Dual,5000.0,10%,5.0,CELLINY COLLECTIONS,74%,967,[ (5 out of 5) I like it ]
81,Nokia,C32 ,6.5,7.0,64.0,50MP + 2MP + 8MP,Dual,0.0,8%,0.0,Minestar,86%,1002,No reviews
82,XIAOMI,Redmi A2 ,6.52,3.0,64.0,8MP + 5MP,Dual,5000.0,16%,0.0,XIAOMI KE,100%,9268,No reviews
83,Samsung,Galaxy A24 4G ,6.5,6.0,128.0,50MP + 5MP + 2MP + 13MP,Dual,5000.0,0,4.0,Iconcept mobile,94%,103,No reviews
84,Sowhat,Find 40 ,6.6,2.0,32.0,5MP + 13MP,Dual,4000.0,23%,1.0,Sowhat Mobiles,80%,4,[ (1 out of 5) Disappointed with the return process ]
85,Oppo,A17K ,6.56,3.0,64.0,8MP + 2MP + 5MP,Dual,5000.0,15%,5.0,Minestar,86%,1002,No reviews
86,Samsung,Galaxy A04 ,6.5,4.0,64.0,5MP,Dual,5000.0,20%,0.0,Samsung Ecco World -,100%,177,No reviews
87,Samsung,Galaxy A23 ,6.6,8.0,128.0,50MP + 5MP + 2MP + 2MP + 8MP,Dual,5000.0,15%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews
88,Samsung,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,Dual,5000.0,5%,4.5,Minestar,86%,1002,No reviews
89,Oppo,A17K ,6.56,3.0,64.0,8MP + 2MP + 5MP,Dual,5000.0,17%,4.5,Minestar,86%,1002,No reviews
90,Samsung,Galaxy F14 5G ,6.6,6.0,128.0,13MP + 50MP + 2MP + 2MP,Dual,6000.0,23%,0.0,CELLINY COLLECTIONS,74%,967,No reviews
91,Samsung,Galaxy A14 4G ,6.6,4.0,128.0,50MP + 2MP + 2MP + 13MP,Dual,5000.0,1%,0.0,Kattason enterprise,94%,291,No reviews
92,Infinix,SMART 7 PLUS Type C ,6.6,9.0,64.0,13MP,Dual,6000.0,1%,4.2,Tycoon enterprises,94%,305,No reviews
93,Tecno,Spark 10 ,6.6,8.0,128.0,50MP + 8MP + 50MP,Dual,5000.0,24%,0.0,Minestar,86%,1002,No reviews
94,Oppo,A58 ,6.72,6.0,128.0,50MP + 2MP + 8MP,Dual,5000.0,33%,0.0,Minestar,86%,1002,No reviews
95,Maxfone,MAX 30s ,6.55,1.0,8.0,8MP + 5MP,Dual,3750.0,13%,0.0,Modern Smartphones,86%,24,No reviews
96,Oppo,Reno 10 5G ,6.7,8.0,256.0,64MP + 32MP + 8MP + 32MP,Dual,5000.0,32%,0.0,Minestar,86%,1002,No reviews
97,XIAOMI,Redmi Note 12 Pro ,6.67,8.0,128.0,108MP + 8MP + 2MP + 2MP + 16MP,Dual,5000.0,22%,5.0,KM KENYA ELECTRONICS,80%,1467,"[ (5 out of 5) Very fast ,good camera. Just the best. ]"
98,Realme,C55 ,6.72,8.0,256.0,64MP,Dual,5000.0,26%,0.0,Minestar,86%,1002,No reviews
99,Samsung,Galaxy A14 4G ,6.6,4.0,128.0,50MP + 2MP + 2MP + 13MP,Dual,5000.0,33%,5.0,Avenue Phones,100%,696,No reviews
100,Tecno,Spark 10C ,6.6,8.0,128.0,16MP + 2MP,Dual,5000.0,33%,4.0,Minestar,86%,1002,No reviews
101,Tecno,CAMON 20 Pro 4G Mr Doodle Edition ,6.67,16.0,256.0,32MP + 64MP + 2MP,Dual,5000.0,29%,0.0,Minestar,86%,1002,No reviews
102,Tecno,Spark 10 Pro ,6.8,8.0,128.0,32MP,Dual,5000.0,26%,5.0,Premium Phones-,100%,407,No reviews
103,Maxfone,MAX80 Plus ,6.52,2.0,16.0,5MP + 8MP,Dual,5075.0,22%,3.8,Modern Electronics,80%,18,No reviews
104,Tecno,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,Dual,5000.0,8%,4.3,Sammark Communication,94%,1254,"[ (3 out of 5) I love it ], [ (4 out of 5) The phone is good ], [ (1 out of 5) Don't like ..... ], [ (4 out of 5) I LIKE IT ], [ (5 out of 5) Like it ]"
105,XIAOMI,Redmi Note 12 ,6.67,4.0,128.0,50MP + 8MP + 2MP + 13MP,Dual,5000.0,36%,4.3,KM KENYA ELECTRONICS,80%,1467,No reviews
106,Samsung,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,Dual,5000.0,43%,4.3,Minestar,86%,1002,"[ (5 out of 5) i like it ], [ (2 out of 5) i dont like it ], [ (5 out of 5) Good ], [ (3 out of 5) Samsung galaxy A03 Core ], [ (1 out of 5) Deceptive advertising! ], [ (5 out of 5) All good. ]"
107,Tecno,Pop 7 ,6.6,2.0,64.0,5MP + 8MP,Dual,5000.0,8%,5.0,Sammark Communication,94%,1254,[ (5 out of 5) absolutely fantastic ]
108,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,22%,3.5,CELLINY COLLECTIONS,74%,967,"[ (1 out of 5) Wrong item shipped ], [ (5 out of 5) I like your items so much ]"
109,Samsung,Galaxy A23 ,6.6,4.0,128.0,50MP + 5MP + 2MP + 2MP + 50MP + 5MP + 2MP + 2MP + 8MP,Dual,0.0,0,0.0,midland electronics,100%,18,No reviews
110,Infinix,Smart 7 Plus ,6.6,3.0,64.0,13MP + 5MP,Dual,6000.0,17%,4.3,Tech Traders,86%,722,"[ (4 out of 5) I like it ???? ], [ (4 out of 5) i like it ], [ (5 out of 5) I like it ], [ (5 out of 5) I like it ], [ (5 out of 5) Great deal mommy now enjoying my gift ], [ (5 out of 5) i love it ], [ (5 out of 5) Infinix smart 7 Plus ], [ (5 out of 5) Just as odered ]"
111,Samsung,Galaxy NOTE 10 ,6.8,12.0,256.0,12MP + 12MP + 16MP + 10MP,Single,0.0,20%,5.0,The Sleek Gadgets,66%,27,No reviews
112,Samsung,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,Dual,5000.0,6%,4.6,Minestar,86%,1002,"[ (5 out of 5) I like it ], [ (5 out of 5) It's good ], [ (4 out of 5) samsung galaxy A03 ], [ (4 out of 5) I like it ], [ (5 out of 5) I like it ], [ (5 out of 5) Beyond my expectations it was. ], [ (5 out of 5) Phone works well. The airpods don't work well ], [ (5 out of 5) Samsung GalaxyA03 core ], [ (5 out of 5) Good ], [ (5 out of 5) Awesome ]"
113,Samsung,Galaxy S21 5G ,6.2,8.0,128.0,64MP + 12MP + 12MP + 10MP,Single,0.0,20%,0.0,The Sleek Gadgets,66%,27,No reviews
114,Infinix,Hot 30i ,6.6,4.0,128.0,13MP + 8MP,Dual,5000.0,12%,5.0,Superfly,74%,284,[ (5 out of 5) Best of the best ]
115,Samsung,Galaxy A34 5G ,6.6,6.0,128.0,48MP + 8MP + 5MP + 13MP,Dual,5000.0,14%,0.0,Superfly,74%,284,No reviews
116,Oppo,A98 5G ,6.72,8.0,256.0,64MP + 2MP + 2MP + 32MP,Dual,5000.0,12%,0.0,Superfly,74%,284,No reviews
117,Oppo,A17 ,6.56,4.0,64.0,50MP + 5MP,Dual,0.0,31%,0.0,NGALA STORE,94%,123,No reviews
118,Tecno,POP 7 Pro ,6.6,11.0,64.0,5MP + 13MP,Dual,0.0,30%,0.0,KM KENYA ELECTRONICS,80%,1467,No reviews
119,Tecno,Spark 10 Pro ,6.8,8.0,256.0,50MP + 2MP + 32MP,Dual,5000.0,38%,5.0,Minestar,86%,1002,[ (5 out of 5) Good ]
120,Samsung,Galaxy M13 ,6.6,6.0,128.0,50MP + 5MP + 2MP + 8MP,Dual,0.0,5%,0.0,Superfly,74%,284,No reviews
121,XIAOMI,Redmi 10C ,6.7,4.0,128.0,5MP,Dual,0.0,1%,0.0,CELLINY COLLECTIONS,74%,967,No reviews
122,Nokia,C12 ,6.3,2.0,64.0,8MP + 5MP,Dual,3000.0,18%,0.0,SmartNets Enterprises,74%,249,No reviews
